id,title,type,year,url,screen_stage,category,directness,include_exclude,reason,inspected_depth,notes
P01,SYNTHTL: Translating Natural Language to Temporal Logics with LLMs and Model Checkers,paper,2024,https://cs.stanford.edu/~trippel/pubs/mendoza_FMCAD24.pdf,deep_review,NL→temporal_logic,adjacent,include,NL→LTL/CTL with model checker feedback loop,full_paper,FMCAD 2024. Decomposes NL→TL into sub-translation tree. Uses model checker to validate.
P02,Req2LTL: Bridging Natural Language and Formal Specification via OnionL,paper,2025,https://arxiv.org/abs/2512.17334,deep_review,NL→temporal_logic,adjacent,include,Hierarchical IR for NL→LTL. 88.4% semantic accuracy,full_paper,OnionL intermediate representation. Rule-based synthesis from LLM-extracted semantics. 100% syntactic correctness.
P03,AutoSpec: Synthesizing Precise Protocol Specs from Natural Language,paper,2025,https://arxiv.org/abs/2511.17977,deep_review,NL→formal_spec,adjacent,include,NL RFC→I/O grammar protocol specs. Two-stage LLM pipeline,full_paper,92.8% client message type recovery. Traceability preserved. Fandango fuzzer integration.
P04,SysMoBench: Evaluating AI on Formally Modeling Complex Real-World Systems,paper,2025,https://arxiv.org/abs/2509.23130,deep_review,TLA+_benchmark,direct,include,TLA+ benchmark for AI system modeling. 11 system artifacts,full_paper,Automated evaluation metrics. Raft/etcd/ZooKeeper/Asterinas. Directly relevant to TLA+ generation evaluation.
P05,Towards Language Model Guided TLA+ Proof Automation,paper,2024,https://arxiv.org/abs/2512.09758,deep_review,TLA+_proof,direct,include,LLM-guided recursive decomposition of TLA+ proofs,full_paper,Not NL→TLA+ generation but adjacent: LLM understanding of TLA+ semantics.
P06,KGST: Enhancing Transformation from NL to Signal Temporal Logic Using LLMs,paper,2025,https://aclanthology.org/2025.findings-acl.544/,deep_review,NL→temporal_logic,adjacent,include,Knowledge-guided NL→STL with generate-then-refine,full_paper,ACL Findings 2025. External knowledge improves transformation accuracy.
P07,NL2CTL: Automatic Generation of Formal Requirements via LLMs,paper,2024,https://dl.acm.org/doi/10.1007/978-981-96-0617-7_1,deep_review,NL→temporal_logic,adjacent,include,NL→CTL framework using LLMs,full_paper,Springer 2024. CTL target formalism.
P08,VLTL-Bench: Verifiable NL to LTL Benchmark,paper,2025,https://arxiv.org/abs/2507.00877,abstract_review,benchmark,adjacent,include,Benchmark dataset for NL→LTL with verification suite,abstract+methods,Extends nl2spec benchmark. 43 templates for diverse NL-LTL synthesis.
P09,ConformalNL2LTL: NL to LTL with Conformal Correctness Guarantees,paper,2025,https://arxiv.org/abs/2504.21022,abstract_review,NL→temporal_logic,adjacent,include,Statistical correctness guarantees for NL→LTL,abstract+methods,Conformal prediction for user-defined success rates.
P10,On the Effectiveness of LLMs in Writing Alloy Formulas,paper,2025,https://arxiv.org/abs/2502.15441,deep_review,NL→formal_spec,adjacent,include,LLM effectiveness at generating complete Alloy formulas from NL,full_paper,Generally good performance. Multiple unique solutions enumerated.
P11,Empirical Evaluation of LLMs for Repairing Declarative Formal Specifications,paper,2024,https://arxiv.org/abs/2404.11050,deep_review,spec_repair,adjacent,include,LLM repair of Alloy specs. 12 settings evaluated. 106K repair attempts,full_paper,Dual-agent auto-prompting outperforms. Comprehensive benchmark of 1974 defective models.
P12,Towards LLM-Based Generation of Symboleo Formal Specs from NL Contracts,paper,2024,https://arxiv.org/abs/2411.15898,deep_review,NL→formal_spec,adjacent,include,NL legal contracts→Symboleo formal specs using LLMs,full_paper,38 prompt combinations tested. Grammar adherence 49% issue. DSL-specific challenges.
P13,Validating Formal Specifications with LLM-generated Test Cases,paper,2025,https://arxiv.org/abs/2510.23350,abstract_review,spec_validation,adjacent,include,LLM-generated test cases for Alloy spec validation,abstract+methods,GPT-5 effective at generating syntactically correct positive/negative test cases.
P14,NL2LTL: Converting Natural Language to Linear Temporal Logic,paper,2023,https://dl.acm.org/doi/10.1609/aaai.v37i13.27068,deep_review,NL→temporal_logic,adjacent,include,Python package for NL→LTL. AAAI 2023 demo award runner-up,full_paper,IBM. Leverages NLU + LLMs. Open-source Python package on GitHub.
